idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,20.78,20.78,1,6,0,0,20
2.0,0.0,0,0.0,12.15,12.15,2,4,0,0,20
3.0,0.0,0,0.0,23.45,23.45,2,4,0,4,20
4.0,0.0,0,0.0,6.13,6.13,1,1,0,0,20
5.0,0.0,0,0.0,20.53,20.53,1,6,0,1,20
6.0,1.0,0,0.0,19.8,19.8,2,5,0,2,20
7.0,2.0,0,0.0,17.34,17.34,1,5,0,0,20
8.0,3.0,0,0.0,21.33,21.33,2,4,0,3,20
9.0,4.0,0,0.0,14.58,14.58,1,4,0,1,20
10.0,5.0,0,0.0,9.59,9.59,1,3,0,0,20
11.0,6.0,0,0.0,14.87,14.87,1,4,0,2,20
12.0,7.0,0,0.0,11.45,11.45,2,1,0,3,20
13.0,8.0,0,0.0,8.65,8.65,2,1,0,2,20
14.0,9.0,0,0.0,17.67,17.67,1,5,0,1,20
15.0,10.0,0,0.0,5.65,5.65,1,2,0,0,20
16.0,11.0,0,0.0,14.71,14.71,2,3,0,2,20
17.0,12.0,0,0.0,18.5,18.5,1,5,0,3,20
18.0,13.0,0,0.0,16.33,16.33,2,3,0,3,20
19.0,14.0,0,0.0,13.36,13.36,1,3,0,1,20
20.0,15.0,0,0.0,16.6,16.6,1,3,0,4,20
21.0,16.0,0,0.0,13.16,13.16,1,1,0,4,20
22.0,17.0,0,0.0,10.29,10.29,2,2,0,2,20
23.0,18.0,0,0.0,6.83,6.83,1,1,0,1,20
24.0,19.0,0,0.0,15.81,15.81,1,5,0,4,20
25.0,20.0,0,0.0,9.04,9.04,1,2,0,1,20
